"author.id.oape","author.id.viaf","author.name","author.birth","author.death","publication.id.oclc","word.count","character.count","article.count","author.name.transliterated"
NA,NA,NA,NA,NA,644997575,201669,889708,228,NA
492,NA,"عبد الرحمن  القصار","1863","1931",644997575,2271,9744,10,"3bd alr7mn  alQSar"
923,NA,"إبراهيم  خليل  مردم بك",NA,NA,644997575,4799,19477,7,"abrahym  Klyl  mrdm bk"
980,53094077,"محمد  فريد  وجدي","1875","1954",644997575,9152,41162,6,"m7md  fryd  wjdy"
547,299025643,"محمد  عارف  المنير",NA,NA,644997575,3151,13809,5,"m7md  3arf  almnyr"
438,58892856,"صالح  الشريف","1869","1920",644997575,5003,23416,4,"Sal7  alWryf"
7,NA,"ع",NA,NA,644997575,2867,13381,4,"3"
223,51567828,"محمد   القاسمي  الحلاق","1843","1900",644997575,10156,43432,4,"m7md   alQasmy  al7laQ"
153,NA,"محمد  سليم  الحنفي",NA,NA,644997575,563,2483,4,"m7md  slym  al7nfy"
512,267054449,"مختار  المؤيد","1822","1921",644997575,953,4082,4,"mKtar  almoyd"
1,NA,"
                            أبو الضيا
",NA,NA,644997575,5098,23341,3,"
                            abw alDya
"
2883,NA,"أحمد الجوبري",NA,NA,644997575,1156,5017,3,"a7md aljwbry"
65,NA,"احمد  الباشا",NA,NA,644997575,4274,21157,3,"a7md  albaWa"
416,NA,"صلاح الدين  الزعيم",NA,NA,644997575,2448,10826,3,"Sla7 aldyn  alz3ym"
910,60500457,"أحمد  محرم","1877","1945",644997575,1021,4670,2,"a7md  m7rm"
3580,NA,"جعفر بن شمس الخلافة",NA,NA,644997575,801,3092,2,"j3fr bn Wms alKlaf0"
3715,NA,"صلاح الدين",NA,NA,644997575,1600,7102,2,"Sla7 aldyn"
516,NA,"عبد القادر  المبارك",NA,NA,644997575,90,369,2,"3bd alQadr  almbark"
891,NA,"عبد القادر  كيوان",NA,NA,644997575,137,571,2,"3bd alQadr  kywan"
3771,NA,"عبد المجيد القصاب",NA,NA,644997575,1405,6418,2,"3bd almjyd alQSab"
3823,NA,"فارس النجار",NA,NA,644997575,822,3613,2,"fars alnjar"
141,NA,"م. ي",NA,NA,644997575,87,332,2,"m. y"
456,17087051,"محمد  الطباع",NA,NA,644997575,2887,12216,2,"m7md  alTba3"
152,NA,"محمد سعيد إياس",NA,NA,644997575,130,551,2,"m7md s3yd ayas"
370,NA,"محي الدين  الخاني",NA,NA,644997575,74,315,2,"m7y aldyn  alKany"
451,NA,"أحمد  الصابوني",NA,NA,644997575,183,756,1,"a7md  alSabwny"
3118,NA,"أحمد عبيد",NA,NA,644997575,44,177,1,"a7md 3byd"
1297,NA,"ا . ح",NA,NA,644997575,1651,7707,1,"a . 7"
3,NA,"ا. ج",NA,NA,644997575,43,170,1,"a. j"
NA,NA,"ابن الأمير محمد سعيد|محمد سعيد |محمد سعيد",NA,NA,644997575,488,2214,1,"abn alamyr m7md s3yd|m7md s3yd |m7md s3yd"
168,12338225,"ابن تيمية","1263-01-22","1328-09-26",644997575,100,458,1,"abn tymy0"
63,NA,"ابو السعود مراد",NA,NA,644997575,261,1095,1,"abw als3wd mrad"
3273,NA,"الجنرال بريكولا",NA,NA,644997575,609,2912,1,"aljnral brykwla"
3330,NA,"السيدعبد القادر المبارك الجزائري",NA,NA,644997575,644,2693,1,"alsyd3bd alQadr almbark aljza5ry"
743,90051632,"السيوطي","1445-10-03","1505-10-18",644997575,741,3201,1,"alsywTy"
3372,NA,"الشيخ السيد المكي",NA,NA,644997575,2793,12596,1,"alWyK alsyd almky"
3354,NA,"الشيخأحمد أفندي المحمصاني| محمد  راغب  طباخ",NA,NA,644997575,756,3449,1,"alWyKa7md afndy alm7mSany| m7md  raGb  TbaK"
3377,NA,"الشيخحسن أفندي الأسطواني",NA,NA,644997575,232,1113,1,"alWyK7sn afndy alasTwany"
3394,NA,"الشيخعارف افندي المحملجي",NA,NA,644997575,216,952,1,"alWyK3arf afndy alm7mljy"
3423,NA,"الشيخمحمد اسحاق الكشميري",NA,NA,644997575,1834,7713,1,"alWyKm7md as7aQ alkWmyry"
3434,NA,"الشيخمحمود افندي العطار",NA,NA,644997575,2748,11912,1,"alWyKm7mwd afndy al3Tar"
3438,NA,"الشيخمصطفى أفندي نجا| مصطفى  نجا",NA,NA,644997575,426,1940,1,"alWyKmSTfA afndy nja| mSTfA  nja"
3530,NA,"ب",NA,NA,644997575,791,3535,1,"b"
6,NA,"ت  ف",NA,NA,644997575,1357,5656,1,"t  f"
468,NA,"توفيق  العلمي",NA,NA,644997575,161,690,1,"twfyQ  al3lmy"
869,NA,"توفيق  قويدر",NA,NA,644997575,84,387,1,"twfyQ  Qwydr"
3619,NA,"حنيفة",NA,NA,644997575,61,246,1,"7nyf0"
98,NA,"خالد الكاظم",NA,NA,644997575,43,190,1,"Kald alkaZm"
3628,NA,"خوجه زاده فخر الدين العينتابي",NA,NA,644997575,68,323,1,"Kwjh zadh fKr aldyn al3yntaby"
3642,NA,"ر. ق",NA,NA,644997575,333,1407,1,"r. Q"
420,NA,"راغب السادات",NA,NA,644997575,580,2555,1,"raGb alsadat"
3649,NA,"رشيد عليوان",NA,NA,644997575,50,213,1,"rWyd 3lywan"
866,NA,"سليم  قصاب",NA,NA,644997575,335,1480,1,"slym  QSab"
106,NA,"سليم قصاب حسن",NA,NA,644997575,45,184,1,"slym QSab 7sn"
3710,NA,"ص ز",NA,NA,644997575,44,170,1,"S z"
117,NA,"ط ي",NA,NA,644997575,136,607,1,"T y"
120,NA,"ع ع",NA,NA,644997575,555,2713,1,"3 3"
121,NA,"ع م",NA,NA,644997575,363,1486,1,"3 m"
122,NA,"ع. ب",NA,NA,644997575,44,177,1,"3. b"
3727,NA,"ع. د",NA,NA,644997575,45,164,1,"3. d"
3728,NA,"ع. ر",NA,NA,644997575,43,168,1,"3. r"
915,NA,"عارف  محملجي",NA,NA,644997575,42,180,1,"3arf  m7mljy"
3731,NA,"عارف أفندي المحملجي",NA,NA,644997575,327,1306,1,"3arf afndy alm7mljy"
3733,NA,"عارف المحماجي",NA,NA,644997575,42,174,1,"3arf alm7majy"
3734,NA,"عارف المحملجي",NA,NA,644997575,451,1937,1,"3arf alm7mljy"
407,280763829,"عبد الحميد  الرافعي","1859","1932",644997575,473,2018,1,"3bd al7myd  alraf3y"
2945,NA,"عبد الرحيم أفندي قليلات",NA,NA,644997575,275,1177,1,"3bd alr7ym afndy Qlylat"
3762,NA,"عبد القادر الخوجه",NA,NA,644997575,784,3451,1,"3bd alQadr alKwjh"
3764,NA,"عبد القادر بن محمد المبارك الحسني الجزائري",NA,NA,644997575,263,1253,1,"3bd alQadr bn m7md almbark al7sny aljza5ry"
312,NA,"عبد اللطيف  البغدادي",NA,NA,644997575,52,218,1,"3bd allTyf  albGdady"
3766,NA,"عبد الله أديب المعروف",NA,NA,644997575,469,2120,1,"3bd allh adyb alm3rwf"
3772,NA,"عبد المجيد قصاب",NA,NA,644997575,45,188,1,"3bd almjyd QSab"
3775,NA,"عبد الوهاب الشركة",NA,NA,644997575,1258,5425,1,"3bd alwhab alWrk0"
3778,NA,"عبد مصطفى",NA,NA,644997575,1711,7440,1,"3bd mSTfA"
374,300091608,"فؤاد  الخطيب","1880","1957",644997575,992,4565,1,"foad  alKTyb"
132,NA,"قاسم  حرز الله",NA,NA,644997575,52,214,1,"Qasm  7rz allh"
3841,NA,"قاسم حرز الله النابلسي",NA,NA,644997575,44,179,1,"Qasm 7rz allh alnablsy"
3914,NA,"م",NA,NA,644997575,45,177,1,"m"
8,NA,"م  ح  خ",NA,NA,644997575,413,1675,1,"m  7  K"
3915,NA,"م. ز",NA,NA,644997575,568,2408,1,"m. z"
3916,NA,"م. م",NA,NA,644997575,42,164,1,"m. m"
566,NA,"محمد  الهاشمي",NA,NA,644997575,834,3496,1,"m7md  alhaWmy"
786,63117968,"محمد  راغب  طباخ","1877","1951",644997575,689,3078,1,"m7md  raGb  TbaK"
424,NA,"محمد  سعيد  السكري",NA,NA,644997575,68,292,1,"m7md  s3yd  alskry"
711,NA,"محمد  سعيد  زهور",NA,NA,644997575,145,678,1,"m7md  s3yd  zhwr"
823,3.37149106226468e+20,"محمد  صادق  عنبر","1872","1938",644997575,851,3760,1,"m7md  SadQ  3nbr"
550,NA,"محمد  علي  الميداني",NA,NA,644997575,115,512,1,"m7md  3ly  almydany"
146,NA,"محمد أبو السعود مراد",NA,NA,644997575,43,184,1,"m7md abw als3wd mrad"
3945,NA,"محمد بن أبي شحاذ الضبي",NA,NA,644997575,144,572,1,"m7md bn aby W7ai alDby"
149,NA,"محمد بن محمد المبارك",NA,NA,644997575,54,232,1,"m7md bn m7md almbark"
3955,NA,"محمد راغب السادات",NA,NA,644997575,337,1608,1,"m7md raGb alsadat"
3956,NA,"محمد رضا",NA,NA,644997575,377,1758,1,"m7md rDa"
3964,NA,"محمد عارف المحملجي",NA,NA,644997575,483,2118,1,"m7md 3arf alm7mljy"
3973,NA,"محمد نجيب الحلبي",NA,NA,644997575,56,231,1,"m7md njyb al7lby"
3976,NA,"محمد نجيب كيوان",NA,NA,644997575,93,465,1,"m7md njyb kywan"
485,NA,"مصطفى  أحمد  القاياتي",NA,NA,644997575,288,1239,1,"mSTfA  a7md  alQayaty"
410,236524859,"مصطفى  صادق  الرافعي","1880-01-01","1937-05-14",644997575,730,3114,1,"mSTfA  SadQ  alraf3y"
956,305215027,"مصطفى  نجا","1853","1932",644997575,698,3130,1,"mSTfA  nja"
411,14924300,"معروف  الرصافي","1875-01-01","1945-01-01",644997575,469,2058,1,"m3rwf  alrSafy"
4058,NA,"هـ ر خ",NA,NA,644997575,45,177,1,"hـ r K"
2834,36771043,"ولي الدين   يكن","1873","1921-03-06",644997575,297,1169,1,"wly aldyn   ykn"
4071,NA,"ي. ص",NA,NA,644997575,466,2178,1,"y. S"
2976,NA,"يحيى القلعي",NA,NA,644997575,425,1888,1,"y7yA alQl3y"
72,NA,NA,NA,NA,644997575,514,2243,1,NA
