"referenced.periodical.title","publication.id.oclc","article.count","issue.count"
"الحقائق",644997575,42,21
"المقتبس",644997575,12,9
"المفيد",644997575,10,7
"الهلال",644997575,5,4
"الحق يعلو",644997575,3,2
"المنار",644997575,3,3
"مجلة المجلات",644997575,3,3
"الاتحاد العثماني",644997575,2,2
"الحقيقة",644997575,2,2
"العثماني",644997575,2,2
"الكائنات",644997575,2,2
"المؤيد",644997575,2,2
"المقتطف",644997575,2,2
"الوطن",644997575,2,2
"مكارم الأخلاق",644997575,2,1
"الإرشاد",644997575,1,1
"التيمس",644997575,1,1
"الجورنال دي كير",644997575,1,1
"الرأي العام",644997575,1,1
"السائح",644997575,1,1
"الضياء",644997575,1,1
"العالمين",644997575,1,1
"العرب",644997575,1,1
"العصر الجديد",644997575,1,1
"اللوقال إنجايكر",644997575,1,1
"المعارف",644997575,1,1
"المنتخبات",644997575,1,1
"الن",644997575,1,1
"النصير",644997575,1,1
"الهلال العثماني",644997575,1,1
"جريدة علمية سياسية أدبية تجارية مصورة",644997575,1,1
"سبيل الرشاد",644997575,1,1
"لومانيتي",644997575,1,1
"مجلة الحقائق",644997575,1,1
"مجلة الن س العصرية",644997575,1,1
"مقتبس",644997575,1,1
